  -1.12144732       6.74553681E-03
 -0.988012433       2.77316496E-02
 -0.854577541      0.134161234    
 -0.721142650      0.314042211    
 -0.587707758      0.534396410    
 -0.454272866      0.573370636    
 -0.320837915      0.437710375    
 -0.187403083      0.224101722    
  -5.39680719E-02  0.113175116    
   7.94668198E-02  0.112425610    
  0.212901711      0.173884943    
  0.346336603      0.217356175    
  0.479771495      0.340274841    
  0.613206387      0.400235176    
  0.746641278      0.492424160    
  0.880076289      0.548636973    
   1.01351106      0.561378539    
   1.14694607      0.550885499    
   1.28038085      0.454199463    
   1.41381586      0.382247061    
   1.54725087      0.301300645    
   1.68068564      0.227849230    
   1.81412065      0.172385931    
   1.94755542       9.44375098E-02
   2.08099031       5.39642945E-02
   2.21442509       2.39841305E-02
   2.34786034       9.74355265E-03
   2.48129511       6.74553681E-03
   2.61472988       3.74752027E-03
   2.74816513       7.49504077E-04
   2.88159990       0.00000000    
