 #root estimate,    iteration step
  -1.36434746               1
 -0.883219719               2
   3.55880857E-02           3
  0.668215394               4
   1.33654058               5
   1.31123054               6
   1.31896555               7
   1.31907427               8
   1.31907380               9
   1.31907332              10
   1.31907368              11
   1.31907368              12
